Developer Responsibility,Applicable/Not applicable,Status
MPIN and PIN requirements for wallet and financial transactions must be enforced server-side and must not be bypassable through response manipulation.,Not applicable,N/A
Wallet and financial operations must be scoped strictly to the authenticated account owner. Cross-account transfers must require explicit server-side authorization.,Not applicable,N/A
OTPs must be single-use only. They must be invalidated immediately upon successful use and rejected if submitted again.,Applicable,To Be Updated / Implemented
Payment and card verification flows must be validated entirely server-side to prevent amount tampering or verification bypass.,Not applicable,N/A
Subscription and premium access controls must be enforced server-side and must not be unlockable by modifying a client-side response field.,Applicable,To Be Updated / Implemented
Files and Resources,,
"Uploaded files must be validated for type, size, and content before being accepted by the server.",Applicable,To Be Updated / Implemented
Filenames provided by users must be sanitized or ignored entirely to prevent directory traversal and file overwrite attacks.,Applicable,To Be Updated / Implemented
User-supplied input that could be used to load external resources must be validated or ignored to prevent RFI and SSRF.,Applicable,To Be Updated / Implemented
Responses serving downloadable files must include the Content-Disposition: attachment header to prevent in-browser execution.,Applicable,To Be Updated / Implemented
User-controlled file metadata such as filenames and paths must never be passed directly to system APIs or shell commands.,Applicable,To Be Updated / Implemented
"Only code from known, trusted sources must be included or executed. Dynamic includes and remote file loading based on user input are not permitted.",Applicable,To Be Updated / Implemented
Uploaded files must be stored in directories that are not accessible by the web server and must have restricted permissions.,Applicable,To Be Updated / Implemented
The web tier must be configured to serve only files with explicitly permitted extensions to prevent information leakage.,Applicable,Already Implemented
Uploaded files must never be served or executed as HTML or JavaScript content when accessed directly in the browser.,Applicable,To Be Updated / Implemented
"Archive files (zip, tar, gz) must be checked for zip bomb attacks before extraction by enforcing a maximum uncompressed size limit and entry count.",Applicable,To Be Updated / Implemented
Archive extraction must validate that all extracted file paths resolve within the intended target directory. Paths containing ../ traversal sequences must be rejected before extraction to prevent zip slip attacks.,Applicable,To Be Updated / Implemented
API and Web Service,,
All API endpoints must be secured with both authentication and authorization.,Applicable,To Be Updated / Implemented
API responses must include only the data that the authenticated and authorized user is entitled to view.,Applicable,To Be Updated / Implemented
Message headers and payloads must be validated to ensure they have not been modified in transit.,Applicable,To Be Updated / Implemented
"API response payloads must be trimmed to the minimum data required. Fields such as hashed passwords, internal IDs, or other users' data must not be returned to the client.",Applicable,To Be Updated / Implemented
Hidden or undocumented endpoints must be removed from production JavaScript bundles and page source.,Applicable,To Be Updated / Implemented
Server-side outbound HTTP requests must be restricted to an explicit allow list of destinations to prevent Blind SSRF.,Applicable,To Be Updated / Implemented
Deprecated and unused API endpoints must be removed or access-protected in production to minimize the attack surface.,Applicable,To Be Updated / Implemented
GraphQL introspection must be disabled in production environments. Schema discovery must not be available to unauthenticated or unauthorized clients.,Not applicable,N/A
GraphQL queries must enforce a maximum depth limit to prevent deeply nested queries from exhausting server resources.,Not applicable,N/A
GraphQL query complexity and cost must be calculated and limited per request. Alias-based batching attacks must be rate-limited or disallowed.,Not applicable,N/A
"Incoming webhook payloads must be authenticated by validating an HMAC signature (e.g., X-Hub-Signature-256) using a shared secret before processing the request.",Applicable,To Be Updated / Implemented
"Webhook endpoints must prevent replay attacks by rejecting payloads with a timestamp outside a defined window (e.g., +/- 5 minutes) or by recording and checking nonces.",Applicable,To Be Updated / Implemented
API endpoints must only accept and process explicitly allowlisted fields from request bodies. User-supplied JSON must not be deserialized directly into model objects without strict field filtering to prevent mass assignment.,Applicable,To Be Updated / Implemented
"Every API endpoint that accesses a resource by ID must verify that the specific object belongs to (or is explicitly shared with) the requesting user. Authorization must be re-evaluated per resource on every request, not assumed from login state alone.",Applicable,To Be Updated / Implemented
"REST API endpoints must enforce rate limits per authenticated user and per IP address, returning 429 Too Many Requests with Retry-After and X-RateLimit headers when limits are exceeded.",Applicable,To Be Updated / Implemented
"Collection endpoints that return lists of resources must enforce a maximum page size. Requests with a limit or page_size parameter exceeding the maximum must be capped server-side, not fulfilled in full.",Applicable,To Be Updated / Implemented
API endpoints must validate the Content-Type header on incoming requests. Requests with an unexpected or missing content type must be rejected with 415 Unsupported Media Type before the body is parsed or processed.,Applicable,To Be Updated / Implemented
"When an API version or endpoint is deprecated but not yet removed, it must return Sunset and Deprecation response headers so consumers can identify and migrate away before removal.",Applicable,To Be Updated / Implemented
"When the application consumes third-party or internal service APIs, responses must be validated against an expected schema before the data is used, stored, or rendered. Data from external APIs must not be trusted as safe or correctly formed.",Applicable,Already Implemented
API endpoints must ignore X-HTTP-Method-Override headers and _method query parameters unless the application explicitly requires them. These must not be used to tunnel non-permitted HTTP methods through POST requests.,Applicable,To Be Updated / Implemented
Configuration,,
The application stack must be deployable using infrastructure-as-code or CI/CD pipelines.,Applicable,To Be Updated / Implemented
Outdated libraries and dependencies must be detected using a software composition analysis tool.,Applicable,To Be Updated / Implemented
"Unnecessary features, sample applications, and default files (e.g., /examples/, /docs/, /test/) must be removed from the web root.",Applicable,To Be Updated / Implemented
Subresource Integrity (SRI) must be applied to all externally loaded scripts and stylesheets to protect against CDN compromise.,Applicable,To Be Updated / Implemented
A Software Bill of Materials (SBOM) must be available or generated for each release.,Applicable,To Be Updated / Implemented
HTTP headers and error pages must not expose version information such as Apache/2.4.49 or X-Powered-By: PHP.,Applicable,Already Implemented
All text-based responses must include a valid Content-Type header with appropriate character encoding.,Applicable,To Be Updated / Implemented
A Content Security Policy (CSP) must be implemented.,Applicable,To Be Updated / Implemented
The X-Content-Type-Options: nosniff header must be present on all responses.,Applicable,To Be Updated / Implemented
Strict-Transport-Security (HSTS) must be enabled with includeSubDomains and a secure max-age value.,Applicable,To Be Updated / Implemented
"The Referrer-Policy header must be configured to limit referrer leakage (e.g., strict-origin or no-referrer).",Applicable,To Be Updated / Implemented
Clickjacking protection must be implemented using X-Frame-Options or the frame-ancestors directive in CSP.,Applicable,To Be Updated / Implemented
"The server must reject unexpected HTTP methods such as TRACE, PUT, and DELETE where they are not required.",Applicable,To Be Updated / Implemented
The Origin header must be treated as informational only and must not be used to make access control decisions.,Applicable,Already Implemented
"CORS must be configured to allow only trusted, explicitly listed origins. Wildcard and null values are not permitted.",Applicable,To Be Updated / Implemented
The Content Security Policy must avoid unsafe-inline and unsafe-eval directives where possible. Nonce or hash-based CSP must be used instead.,Applicable,To Be Updated / Implemented
WordPress-specific default endpoints such as xmlrpc.php and wp-login.php must be disabled or protected from unauthenticated access.,Not applicable,N/A
"Configuration and installation files such as .env, config.php, web.config, and composer.json must not be accessible from the web root in production.",Applicable,To Be Updated / Implemented
"Deactivated or unused plugins, themes, and components must be fully removed from the application, not merely disabled.",Applicable,To Be Updated / Implemented
WordPress debug logging must be disabled in production. WP_DEBUG and WP_DEBUG_LOG must be set to false.,Not applicable,N/A
"Deprecated HTTP response headers such as X-XSS-Protection, Expect-CT, and X-Powered-By must be removed from all responses.",Applicable,To Be Updated / Implemented
Docker containers must run as a non-root user. The USER directive in the Dockerfile must specify a non-privileged user. Containers must not be run with --privileged or --cap-add beyond what is strictly required.,Not applicable,N/A
"Container images must be scanned for known CVEs before deployment using a container scanning tool (e.g., Trivy, Snyk Container, AWS ECR image scanning). Images with critical or high-severity vulnerabilities must not be promoted to production.",Not applicable,N/A
"Secrets, credentials, and .env files must not be baked into Docker image layers. Build-time secrets must use --secret mount or multi-stage build patterns. Runtime secrets must be injected via a secrets manager or environment injection at runtime, not embedded in the image.",Not applicable,N/A
Compliance / Data Privacy,,
Users must be able to request access to all personal data held about them.,Applicable,To Be Updated / Implemented
Users must be able to request correction of inaccurate personal data.,Applicable,To Be Updated / Implemented
Users must be able to request permanent deletion of their personal data (right to be forgotten).,Applicable,To Be Updated / Implemented
Users must be able to object to specific uses of their personal data such as marketing.,Applicable,To Be Updated / Implemented
User data requests must be fulfilled within one month as required by GDPR.,Applicable,To Be Updated / Implemented
Explicit user consent must be obtained and recorded before collecting or processing any personal data.,Applicable,To Be Updated / Implemented
The signup and signin pages must provide users access to the privacy policy and terms and conditions.,Applicable,To Be Updated / Implemented
The privacy policy must be kept up to date and users must be notified of any changes.,Applicable,To Be Updated / Implemented
All third-party SDKs and services must be covered by Data Processing Agreements (DPAs).,Applicable,To Be Updated / Implemented
Only the minimum personal data required for app functionality must be collected.,Applicable,To Be Updated / Implemented
Collected data must be used only for the purposes disclosed at the time of collection.,Applicable,To Be Updated / Implemented
"A cookie consent banner must be implemented allowing users to accept or reject non-essential cookies by category (analytics, marketing, essential) before any tracking cookies are set. (GDPR)",Applicable,To Be Updated / Implemented
"Explicit, affirmative consent must be collected and recorded with a timestamp and consent version before personal data is processed. Pre-ticked boxes are not permitted. (GDPR)",Applicable,To Be Updated / Implemented
"A data portability feature must be implemented, allowing users to export their personal data in a structured, machine-readable format such as JSON or CSV. (GDPR)",Applicable,Already Implemented
"A consent withdrawal mechanism must be implemented. Users must be able to revoke consent at any time, and data processing must stop immediately upon withdrawal. (GDPR)",Applicable,To Be Updated / Implemented
Each personal data field collected must be limited to what is strictly necessary for the stated purpose. (GDPR),Applicable,To Be Updated / Implemented
Personal data must be automatically deleted or anonymised after the retention period specified in the privacy policy has elapsed. (GDPR),Applicable,To Be Updated / Implemented
Users under the age of 16 must not be permitted to register without verifiable parental consent. (GDPR),Applicable,To Be Updated / Implemented
"Separate consent must be collected for profiling and automated decision-making, with an opt-out option available. (GDPR)",Applicable,To Be Updated / Implemented
"A privacy notice must be displayed at each point of data collection, stating the purpose, lawful basis, and retention period. (GDPR)",Applicable,To Be Updated / Implemented
Breach detection events such as unauthorised access and bulk data exports must be logged with sufficient detail to support a 72-hour notification to the supervisory authority. (GDPR),Applicable,To Be Updated / Implemented
No data must be sent to a third-party SDK before user consent has been obtained and recorded. (GDPR),Applicable,To Be Updated / Implemented
"A clear, plain-language consent notice must be displayed before personal data is collected, stating the exact purpose for which it will be used. (India DPDPA)",Applicable,To Be Updated / Implemented
A consent withdrawal feature must be implemented. Users must be able to withdraw consent at any time and data processing must cease immediately. (India DPDPA),Applicable,To Be Updated / Implemented
Personal data processing must be strictly limited to the purposes stated in the consent notice. Secondary use without fresh consent is not permitted. (India DPDPA),Applicable,To Be Updated / Implemented
A feature must be implemented allowing users to view a summary of their personal data currently held and processed by the application. (India DPDPA),Applicable,To Be Updated / Implemented
"A nomination feature must be implemented, allowing users to designate another individual to exercise their data rights on their behalf. (India DPDPA)",Applicable,To Be Updated / Implemented
"A grievance submission mechanism must be implemented in the application, such as an in-app form or a clearly visible contact point for data-related complaints. (India DPDPA)",Applicable,Already Implemented
"Age verification must be implemented to identify users under 18, and verifiable parental or guardian consent must be collected before processing their data. (India DPDPA)",Applicable,To Be Updated / Implemented
"Behavioural profiling, tracking, and targeted advertising of users under 18 must be blocked at the application level. (India DPDPA)",Applicable,To Be Updated / Implemented
Cross-border data transfers must be implemented only to countries approved by the Central Government. Transfers to non-approved destinations must be blocked. (India DPDPA),Applicable,To Be Updated / Implemented
Internal personal data breach events must be logged so that the relevant authority can be notified within the prescribed timeline. (India DPDPA),Applicable,To Be Updated / Implemented
"A privacy notice must be displayed to users at the time of data collection, stating the purpose, categories of data collected, and their rights. (Jamaica DPA)",Applicable,To Be Updated / Implemented
Personal data collection must be strictly limited to the purposes disclosed. Fields beyond what is needed for the stated function must not be collected. (Jamaica DPA),Applicable,To Be Updated / Implemented
Personal data must be retained only for the period required for its purpose and must be automatically deleted or anonymised afterwards. (Jamaica DPA),Applicable,To Be Updated / Implemented
An opt-out mechanism for direct marketing must be implemented. Users must be able to unsubscribe from marketing communications both in-app and via email. (Jamaica DPA),Applicable,To Be Updated / Implemented
"Special personal information such as health, financial, and biometric data must be stored with additional encryption and access controls beyond standard PII. (Jamaica DPA)",Not applicable,N/A
Cross-border data transfers must be restricted to jurisdictions with equivalent data protection standards unless explicit user consent has been obtained. (Jamaica DPA),Applicable,To Be Updated / Implemented
Personal data accuracy must be maintained. Stale or incorrect records must be flagged and updatable by the data subject. (Jamaica DPA),Applicable,To Be Updated / Implemented
"Personal data must be collected only for a specific, explicitly stated, and lawful purpose. Unnecessary or undisclosed fields must not be collected. (POPIA)",Applicable,To Be Updated / Implemented
The volume of personal data collected must be minimised to only what is adequate and relevant for the stated purpose. (POPIA),Applicable,To Be Updated / Implemented
"An objection mechanism must be implemented, allowing Data Subjects to object to the processing of their personal information. (POPIA)",Applicable,Already Implemented
"Special personal information such as health, biometric, criminal, political, and religious data must be stored with additional encryption and access controls, and must be processed only with explicit consent. (POPIA)",Not applicable,N/A
Cross-border transfers of personal information must include appropriate technical safeguards in the implementation. Transfers to countries without equivalent protection must be blocked unless the data subject has explicitly consented. (POPIA),Applicable,Already Implemented
"Internal breach detection events such as unauthorised access, bulk exports, and integrity check failures must be logged to support timely notification of the Information Regulator and affected Data Subjects. (POPIA)",Applicable,Already Implemented
"Reasonable technical security measures must be implemented to protect personal information against loss, unauthorised access, and disclosure. (POPIA)",Applicable,Already Implemented
SOC 2 Type II (Trust Service Criteria),,
"Comprehensive audit logging must be implemented for all security-relevant actions including login, logout, data access, privilege changes, and admin actions. Each log entry must include user ID, timestamp, IP address, and a description of the action.",Applicable,To Be Updated / Implemented
Access controls must enforce least privilege. Each role must have access only to the resources required for its function.,Applicable,To Be Updated / Implemented
Multi-factor authentication must be enforced for access to all administrative interfaces and privileged functions.,Applicable,To Be Updated / Implemented
"Automatic session timeout must be implemented at a maximum of 30 minutes of inactivity, with server-side session invalidation on logout.",Applicable,To Be Updated / Implemented
"All data must be encrypted at rest using AES-256 or equivalent, and in transit using TLS 1.2 or higher.",Applicable,To Be Updated / Implemented
Input validation and output encoding must be applied to all user-supplied data to prevent injection and XSS vulnerabilities.,Applicable,To Be Updated / Implemented
"Error handling must be implemented so that stack traces, internal file paths, and system details are never returned to the end user.",Applicable,Already Implemented
System health and availability monitoring endpoints such as /health or /status must be implemented and must not expose sensitive system information.,Applicable,Already Implemented
A data export or restore mechanism must be implemented at the application level for critical data to support recovery requirements.,Applicable,To Be Updated / Implemented
Software dependencies must be scanned for known vulnerabilities as part of the build pipeline. Builds with critical CVEs must not proceed to deployment.,Applicable,To Be Updated / Implemented
Separation of duties must be enforced in code. Users must not be able to approve their own requests or unilaterally deploy their own code changes to production.,Applicable,To Be Updated / Implemented
ISO/IEC 27001:2022 (Information Security Management),,
"All secrets including API keys, database credentials, and tokens must be managed via a secrets manager or environment variables. Hardcoding secrets in source code is not permitted. (Annex A 8.10)",Applicable,To Be Updated / Implemented
"Only approved cryptographic algorithms and key lengths must be used such as AES-256, RSA-2048 or higher, and SHA-256 or higher. MD5, SHA-1, and DES are not permitted. (Annex A 8.24)",Applicable,To Be Updated / Implemented
Access logging and a tamper-evident audit trail must be implemented for all sensitive operations and data access events. (Annex A 8.15),Applicable,To Be Updated / Implemented
"Secure-by-default configuration must be applied. Default credentials must be changed, debug mode must be disabled, and service accounts must follow least privilege. (Annex A 8.9)",Applicable,Already Implemented
Software composition analysis must be integrated into the CI/CD pipeline. Deployment of components with known critical vulnerabilities must be blocked. (Annex A 8.8),Applicable,To Be Updated / Implemented
"API responses must be filtered to prevent leakage of sensitive internal data fields. Internal IDs, password hashes, and other users' data must not be returned unnecessarily. (Annex A 8.12)",Applicable,To Be Updated / Implemented
Security testing including SAST and DAST must be integrated into the CI/CD pipeline. Builds with high or critical findings must be blocked from deployment. (Annex A 8.29),Applicable,To Be Updated / Implemented
"All web inputs must be validated and sanitised server-side before processing, logging, or storing, to prevent injection, XSS, and path traversal. (Annex A 8.28)",Applicable,To Be Updated / Implemented
The application must be free of insecure direct object references. All resource identifiers must be opaque and access must be verified against the authenticated user for every request. (Annex A 8.3),Applicable,To Be Updated / Implemented
Third-party libraries and frameworks must be kept up to date. Security patches must be applied within a defined SLA based on severity. (Annex A 8.8),Applicable,To Be Updated / Implemented
"Sensitive data must be handled according to its classification. Confidential data must be encrypted, access-controlled, and excluded from non-essential API responses. (Annex A 5.12)",Applicable,To Be Updated / Implemented
"A secure software development lifecycle must be followed. Threat modelling, peer code review, and security testing must be performed before each release. (Annex A 8.25 to 8.31)",Applicable,Already Implemented
