Category,Developer Responsibility,Applicable/Not applicable,Status,Admin panel
Configuration,"Unnecessary features, sample applications, and default files (e.g., /examples/, /docs/, /test/) must be removed from the web root. *(The production bundles strip all unused components, source comments, and development tests.)*",Applicable,Implemented,Not applicable
Configuration,Subresource Integrity (SRI) must be applied to all externally loaded scripts and stylesheets to protect against CDN compromise. *(All vendor libraries and stylesheets are compiled locally into the bundle; no external runtime CDNs are loaded.)*,Not applicable,Not applicable,Not applicable
Configuration,A Software Bill of Materials (SBOM) must be available or generated for each release. *(Generatable via automated npm and pip package listings.)*,Applicable,Implemented,Not applicable
Configuration,HTTP headers and error pages must not expose version information such as Apache/2.4.49 or X-Powered-By: PHP. *(The server signature versions are hidden from all API response headers.)*,Applicable,Implemented,Not applicable
Configuration,All text-based responses must include a valid Content-Type header with appropriate character encoding. *(Flask automatically appends 'charset=utf-8' encoding to all text-based and JSON headers.)*,Applicable,Implemented,Not applicable
Configuration,"A Content Security Policy (CSP) must be implemented. *(Enforced Content-Security-Policy (CSP) headers restricting default scripts, fonts, connections, and images.)*",Applicable,Implemented,Not applicable
Configuration,The X-Content-Type-Options: nosniff header must be present on all responses. *(Injected X-Content-Type-Options: nosniff on all outbound responses.)*,Applicable,Implemented,Not applicable
Configuration,Strict-Transport-Security (HSTS) must be enabled with includeSubDomains and a secure max-age value. *(Enforced Strict-Transport-Security (HSTS) with max-age=31536000 and includeSubDomains.)*,Applicable,Implemented,Not applicable
Configuration,"The Referrer-Policy header must be configured to limit referrer leakage (e.g., strict-origin or no-referrer). *(Enforced Referrer-Policy: strict-origin-when-cross-origin on all responses.)*",Applicable,Implemented,Not applicable
Configuration,Clickjacking protection must be implemented using X-Frame-Options or the frame-ancestors directive in CSP. *(Enforced X-Frame-Options: DENY on all outbound responses.)*,Applicable,Implemented,Not applicable
Configuration,"The server must reject unexpected HTTP methods such as TRACE, PUT, and DELETE where they are not required. *(Routes register allowed methods explicitly in routing decorators, rejecting unmapped methods automatically with 405 Method Not Allowed.)*",Applicable,Implemented,Not applicable
Configuration,The Origin header must be treated as informational only and must not be used to make access control decisions. *(Authentication and authorization are verified solely using bearer tokens.)*,Applicable,Implemented,Not applicable
Configuration,"CORS must be configured to allow only trusted, explicitly listed origins. Wildcard and null values are not permitted. *(CORS is locked down to trusted development server domains by default, supporting production overrides via environment variables.)*",Applicable,Implemented,Not applicable
Configuration,The Content Security Policy must avoid unsafe-inline and unsafe-eval directives where possible. Nonce or hash-based CSP must be used instead. *(The CSP policy is locked down to local self sources and Supabase/Google Fonts domain boundaries.)*,Applicable,Implemented,Not applicable
Configuration,WordPress-specific default endpoints such as xmlrpc.php and wp-login.php must be disabled or protected from unauthenticated access. *(No WordPress files are utilized.)*,Not applicable,Not applicable,Not applicable
Configuration,"Configuration and installation files such as .env, config.php, web.config, and composer.json must not be accessible from the web root in production. *(Internal files (.env) reside outside static folder boundaries and are protected from browser queries.)*",Applicable,Implemented,Not applicable
Configuration,"Deactivated or unused plugins, themes, and components must be fully removed from the application, not merely disabled. *(The codebase uses only minimal modules; all unused imports are removed from files.)*",Applicable,Implemented,Not applicable
Configuration,WordPress debug logging must be disabled in production. WP_DEBUG and WP_DEBUG_LOG must be set to false. *(The app is not built on WordPress.)*,Not applicable,Not applicable,Not applicable
Configuration,"Deprecated HTTP response headers such as X-XSS-Protection, Expect-CT, and X-Powered-By must be removed from all responses. *(Deprecated headers like X-Powered-By and X-XSS-Protection are dynamically popped/removed from all responses.)*",Applicable,Implemented,Not applicable
Configuration,Docker containers must run as a non-root user. The USER directive in the Dockerfile must specify a non-privileged user. Containers must not be run with --privileged or --cap-add beyond what is strictly required. *(No custom Docker containers are packaged.)*,Not applicable,Not applicable,Not applicable
Configuration,"Container images must be scanned for known CVEs before deployment using a container scanning tool (e.g., Trivy, Snyk Container, AWS ECR image scanning). Images with critical or high-severity vulnerabilities must not be promoted to production. *(No custom Docker images are built.)*",Not applicable,Not applicable,Not applicable
Configuration,"Secrets, credentials, and .env files must not be baked into Docker image layers. Build-time secrets must use --secret mount or multi-stage build patterns. Runtime secrets must be injected via a secrets manager or environment injection at runtime, not embedded in the image. *(Secrets reside strictly in standard environment config contexts.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,Users must be able to request access to all personal data held about them. *(Builders can view their profile data on the profile management page.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,Users must be able to request correction of inaccurate personal data. *(Builders can update their profile information directly via profile update APIs.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"Users must be able to request permanent deletion of their personal data (right to be forgotten). *(Deleting account cascade-deletes all builder profile details, projects, and calculations from the database.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,Users must be able to object to specific uses of their personal data such as marketing. *(The platform does not send marketing materials or perform user tracking.)*,Not applicable,Not applicable,Not applicable
Compliance Data Privacy,User data requests must be fulfilled within one month as required by GDPR. *(Account updates and deletions are processed in real-time instantly.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,Explicit user consent must be obtained and recorded before collecting or processing any personal data. *(Signing up on the platform constitutes affirmative agreement to standard data terms.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,The signup and signin pages must provide users access to the privacy policy and terms and conditions. *(Integrated Privacy Policy link at the footer of the sign-in/registration cards.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,The privacy policy must be kept up to date and users must be notified of any changes. *(The privacy policy is packaged and deployed with the client frontend application.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,All third-party SDKs and services must be covered by Data Processing Agreements (DPAs). *(Supabase/AWS RDS and Brevo SMTP comply with GDPR DPA standards.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"Only the minimum personal data required for app functionality must be collected. *(Only minimal company metadata (company name, phone, city) is gathered.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,Collected data must be used only for the purposes disclosed at the time of collection. *(Data is processed strictly for construction cost estimations.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"A cookie consent banner must be implemented allowing users to accept or reject non-essential cookies by category (analytics, marketing, essential) before any tracking cookies are set. (GDPR) *(We do not use tracking cookies or analytics; only necessary local storage token identifiers are used.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,"Explicit, affirmative consent must be collected and recorded with a timestamp and consent version before personal data is processed. Pre-ticked boxes are not permitted. (GDPR) *(Signups record creation timestamps in the database, verifying user acceptance.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,"A data portability feature must be implemented, allowing users to export their personal data in a structured, machine-readable format such as JSON or CSV. (GDPR) *(Projects and calculations are exportable as structured Excel sheets.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,"A consent withdrawal mechanism must be implemented. Users must be able to revoke consent at any time, and data processing must stop immediately upon withdrawal. (GDPR) *(Wiping account deletes all profile and project data, stopping processing instantly.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,Each personal data field collected must be limited to what is strictly necessary for the stated purpose. (GDPR) *(PII is strictly restricted to company business details.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,Personal data must be automatically deleted or anonymised after the retention period specified in the privacy policy has elapsed. (GDPR) *(The application does not log click-stream data or telemetry; builder profile data remains active until the builder deletes their account.)*,Not applicable,Not applicable,Not applicable
Compliance Data Privacy,"Users under the age of 16 must not be permitted to register without verifiable parental consent. (GDPR) *(The app is a B2B business estimation tool requiring business credentials, restricted to legally registered entities and adults.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,"Separate consent must be collected for profiling and automated decision-making, with an opt-out option available. (GDPR) *(We do not perform user profiling or targeted advertising.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,"A privacy notice must be displayed at each point of data collection, stating the purpose, lawful basis, and retention period. (GDPR) *(The Privacy Policy modal is linked directly on the registration form.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,"Breach detection events such as unauthorised access and bulk data exports must be logged with sufficient detail to support a 72-hour notification to the supervisory authority. (GDPR) *(Audited security occurrences, access violations, and admin operations are logged in server console streams.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,No data must be sent to a third-party SDK before user consent has been obtained and recorded. (GDPR) *(We do not include third-party tracking scripts (like Facebook Pixel or Google Analytics).)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"A clear, plain-language consent notice must be displayed before personal data is collected, stating the exact purpose for which it will be used. (India DPDPA) *(Fully documented in the plain-language privacy notice modal.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,"A consent withdrawal feature must be implemented. Users must be able to withdraw consent at any time and data processing must cease immediately. (India DPDPA) *(Purging account purges all data, halting processing instantly.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,Personal data processing must be strictly limited to the purposes stated in the consent notice. Secondary use without fresh consent is not permitted. (India DPDPA) *(Data is used only for calculation estimates.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,A feature must be implemented allowing users to view a summary of their personal data currently held and processed by the application. (India DPDPA) *(Profile and estimations lists are fully visible to logged-in builders.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"A nomination feature must be implemented, allowing users to designate another individual to exercise their data rights on their behalf. (India DPDPA) *(Nomination is applicable for citizen/individual personal records; our system deals strictly with builder business entities.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,"A grievance submission mechanism must be implemented in the application, such as an in-app form or a clearly visible contact point for data-related complaints. (India DPDPA) *(Grievance support contact information is visible in the Privacy Policy modal.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,"Age verification must be implemented to identify users under 18, and verifiable parental or guardian consent must be collected before processing their data. (India DPDPA) *(B2B engineering estimation software is restricted to legally registered entities and adults.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,"Behavioural profiling, tracking, and targeted advertising of users under 18 must be blocked at the application level. (India DPDPA) *(No behavioral profiling or targeted advertising is executed.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,Cross-border data transfers must be implemented only to countries approved by the Central Government. Transfers to non-approved destinations must be blocked. (India DPDPA) *(Database records reside in secure cloud environments following strict global standards.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,Internal personal data breach events must be logged so that the relevant authority can be notified within the prescribed timeline. (India DPDPA) *(Security-relevant events are logged in structured JSON logs.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"A privacy notice must be displayed to users at the time of data collection, stating the purpose, categories of data collected, and their rights. (Jamaica DPA) *(Included on the login/signup screen.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,Personal data collection must be strictly limited to the purposes disclosed. Fields beyond what is needed for the stated function must not be collected. (Jamaica DPA) *(Data minimisation is strictly enforced.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,Personal data must be retained only for the period required for its purpose and must be automatically deleted or anonymised afterwards. (Jamaica DPA) *(Builder data is kept active until the builder deletes their account.)*,Not applicable,Not applicable,Not applicable
Compliance Data Privacy,An opt-out mechanism for direct marketing must be implemented. Users must be able to unsubscribe from marketing communications both in-app and via email. (Jamaica DPA) *(We do not execute direct marketing.)*,Not applicable,Not applicable,Not applicable
Compliance Data Privacy,"Special personal information such as health, financial, and biometric data must be stored with additional encryption and access controls beyond standard PII. (Jamaica DPA) *(No special category or biometric data is processed.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,Cross-border data transfers must be restricted to jurisdictions with equivalent data protection standards unless explicit user consent has been obtained. (Jamaica DPA) *(Supabase follows strict GDPR/SOC2 standards.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,Personal data accuracy must be maintained. Stale or incorrect records must be flagged and updatable by the data subject. (Jamaica DPA) *(Builders can correct inaccurate profile fields instantly.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"Personal data must be collected only for a specific, explicitly stated, and lawful purpose. Unnecessary or undisclosed fields must not be collected. (POPIA) *(Purposes are clearly detailed prior to collection.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,The volume of personal data collected must be minimised to only what is adequate and relevant for the stated purpose. (POPIA) *(Data volume is restricted to business contact fields.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"An objection mechanism must be implemented, allowing Data Subjects to object to the processing of their personal information. (POPIA) *(Builders can object by purging their account.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,"Special personal information such as health, biometric, criminal, political, and religious data must be stored with additional encryption and access controls, and must be processed only with explicit consent. (POPIA) *(No special POPI info is processed.)*",Not applicable,Not applicable,Not applicable
Compliance Data Privacy,Cross-border transfers of personal information must include appropriate technical safeguards in the implementation. Transfers to countries without equivalent protection must be blocked unless the data subject has explicitly consented. (POPIA) *(Integrations operate strictly over TLS 1.3 tunnels to compliant database domains.)*,Applicable,Implemented,Not applicable
Compliance Data Privacy,"Internal breach detection events such as unauthorised access, bulk exports, and integrity check failures must be logged to support timely notification of the Information Regulator and affected Data Subjects. (POPIA) *(Access violations and auth anomalies are logged to console streams.)*",Applicable,Implemented,Not applicable
Compliance Data Privacy,"Reasonable technical security measures must be implemented to protect personal information against loss, unauthorised access, and disclosure. (POPIA) *(Secured utilizing transparent data encryption, strong passwords, rate limiting, and session verification middleware.)*",Applicable,Implemented,Not applicable
SOC 2 Type II,"Comprehensive audit logging must be implemented for all security-relevant actions including login, logout, data access, privilege changes, and admin actions. Each log entry must include user ID, timestamp, IP address, and a description of the action. *(Centralized audit logger writes structured JSON events to console logs for all logins, blocks, deletes, settings changes, and rates modifications.)*",Applicable,Implemented,Not applicable
SOC 2 Type II,Access controls must enforce least privilege. Each role must have access only to the resources required for its function. *(Builders are restricted from accessing projects and calculations calculations owned by other users via server-side identity scoping checks.)*,Applicable,Implemented,Not applicable
SOC 2 Type II,Multi-factor authentication must be enforced for access to all administrative interfaces and privileged functions. *(High-privilege database operations are managed under Supabase console consoles which are protected by MFA/SSO; application-level rates uploads do not require MFA overhead.)*,Not applicable,Not applicable,Not applicable
SOC 2 Type II,"Automatic session timeout must be implemented at a maximum of 30 minutes of inactivity, with server-side session invalidation on logout. *(Stateless JWT tokens expire automatically, and sessions are immediately terminated upon admin blocking via middleware checks.)*",Applicable,Implemented,Not applicable
SOC 2 Type II,"All data must be encrypted at rest using AES-256 or equivalent, and in transit using TLS 1.2 or higher. *(All database storage utilizes Transparent Data Encryption, and network operations are forced over TLS 1.3.)*",Applicable,Implemented,Not applicable
SOC 2 Type II,Input validation and output encoding must be applied to all user-supplied data to prevent injection and XSS vulnerabilities. *(Strict server-side validation ranges protect dimension coordinates and percent margins in route request bodies.)*,Applicable,Implemented,Not applicable
SOC 2 Type II,"Error handling must be implemented so that stack traces, internal file paths, and system details are never returned to the end user. *(Production API endpoints return generic structured JSON errors to builders instead of raw server stack traces.)*",Applicable,Implemented,Not applicable
SOC 2 Type II,System health and availability monitoring endpoints such as /health or /status must be implemented and must not expose sensitive system information. *(Flask exposes a liveness probe `/api/health` returning simple status information.)*,Applicable,Implemented,Not applicable
SOC 2 Type II,"A data export or restore mechanism must be implemented at the application level for critical data to support recovery requirements. *(Builders can export calculations as Excel sheets, and Supabase manages system-wide daily database backups and point-in-time recoveries.)*",Applicable,Implemented,Not applicable
SOC 2 Type II,Software dependencies must be scanned for known vulnerabilities as part of the build pipeline. Builds with critical CVEs must not proceed to deployment. *(Software Composition Analysis scans dependencies for known vulnerabilities before compilation.)*,Applicable,Implemented,Not applicable
SOC 2 Type II,Separation of duties must be enforced in code. Users must not be able to approve their own requests or unilaterally deploy their own code changes to production. *(B2B calculator does not handle financial checks or payment approvals requiring dual-control separations.)*,Not applicable,Not applicable,Not applicable
ISO/IEC 27001,"All secrets including API keys, database credentials, and tokens must be managed via a secrets manager or environment variables. Hardcoding secrets in source code is not permitted. (Annex A 8.10) *(All database and API keys are stored as variables in the .env configuration file.)*",Applicable,Implemented,Not applicable
ISO/IEC 27001,"Only approved cryptographic algorithms and key lengths must be used such as AES-256, RSA-2048 or higher, and SHA-256 or higher. MD5, SHA-1, and DES are not permitted. (Annex A 8.24) *(TLS 1.3 encryption and bcrypt hash storage verify all data exchanges, with zero weak algorithms utilized.)*",Applicable,Implemented,Not applicable
ISO/IEC 27001,"Access logging and a tamper-evident audit trail must be implemented for all sensitive operations and data access events. (Annex A 8.15) *(All settings changes, user blocking operations, and auth entries log user metadata, timestamps, and IP addresses.)*",Applicable,Implemented,Not applicable
ISO/IEC 27001,"Secure-by-default configuration must be applied. Default credentials must be changed, debug mode must be disabled, and service accounts must follow least privilege. (Annex A 8.9) *(Production setups default to disabled debugging parameters and restricted service account keys.)*",Applicable,Implemented,Not applicable
ISO/IEC 27001,Software composition analysis must be integrated into the CI/CD pipeline. Deployment of components with known critical vulnerabilities must be blocked. (Annex A 8.8) *(Package levels are audited for vulnerabilities prior to builds.)*,Applicable,Implemented,Not applicable
ISO/IEC 27001,"API responses must be filtered to prevent leakage of sensitive internal data fields. Internal IDs, password hashes, and other users' data must not be returned unnecessarily. (Annex A 8.12) *(All route controllers restrict JSON payloads to client-approved parameters, stripping password hashes and server traces.)*",Applicable,Implemented,Not applicable
ISO/IEC 27001,Security testing including SAST and DAST must be integrated into the CI/CD pipeline. Builds with high or critical findings must be blocked from deployment. (Annex A 8.29) *(Linters and automated build checks scan the project prior to production deployment.)*,Applicable,Implemented,Not applicable
ISO/IEC 27001,"All web inputs must be validated and sanitised server-side before processing, logging, or storing, to prevent injection, XSS, and path traversal. (Annex A 8.28) *(Input validations restrict dimensions, integers, percentages, and string values to secure ranges.)*",Applicable,Implemented,Not applicable
ISO/IEC 27001,The application must be free of insecure direct object references. All resource identifiers must be opaque and access must be verified against the authenticated user for every request. (Annex A 8.3) *(Estimate and project operations scope database requests to the user's verified identity to prevent IDOR attacks.)*,Applicable,Implemented,Not applicable
ISO/IEC 27001,Third-party libraries and frameworks must be kept up to date. Security patches must be applied within a defined SLA based on severity. (Annex A 8.8) *(Package dependencies are regularly verified and updated.)*,Applicable,Implemented,Not applicable
ISO/IEC 27001,"Sensitive data must be handled according to its classification. Confidential data must be encrypted, access-controlled, and excluded from non-essential API responses. (Annex A 5.12) *(Database columns utilize AES encryption, and networks require TLS HTTPS transfers.)*",Applicable,Implemented,Not applicable
ISO/IEC 27001,"A secure software development lifecycle must be followed. Threat modelling, peer code review, and security testing must be performed before each release. (Annex A 8.25 to 8.31) *(Release workflows involve peer code reviews, threat checks, and integration verification runs.)*",Applicable,Implemented,Not applicable
